group_id,team,level,path,n_repos,n_in_codacy,sec_issues,sec_critical,sec_medium,sec_minor,all_issues
group:logistics,Logistics,PLATFORM,Logistics,182,119,1594,1524,66,4,2952
group:customer-product-line,Customer Product Line,PRODUCT-LINE,Logistics / Customer Product Line,35,30,422,396,26,0,896
group:log-customer,Customer,TRIBE,Logistics / Customer Product Line / Customer,34,29,396,370,26,0,870
group:log-choice-customer-logistics,Choice - Customer Logistics,DOMAIN,Logistics / Customer Product Line / Customer / Choice - Customer Logistics,11,10,108,85,23,0,192
group:log-demand-management,Demand Management,SQUAD,Logistics / Customer Product Line / Customer / Choice - Customer Logistics / Demand Management,5,5,41,31,10,0,68
group:log-optimal-choice,Optimal Choice,SQUAD,Logistics / Customer Product Line / Customer / Choice - Customer Logistics / Optimal Choice,6,5,67,54,13,0,124
group:pricing,Pricing - Customer Logistics,DOMAIN,Logistics / Customer Product Line / Customer / Pricing - Customer Logistics,10,9,183,181,2,0,251
group:log-pricing-orchestration,Pricing Algo & Experimentation,SQUAD,Logistics / Customer Product Line / Customer / Pricing - Customer Logistics / Pricing Algo & Experimentation,5,5,124,123,1,0,169
group:log-pricing-benefits,Pricing Benefits,SQUAD,Logistics / Customer Product Line / Customer / Pricing - Customer Logistics / Pricing Benefits,2,2,55,55,0,0,65
group:log-pricing-foundations,Pricing Mechanisms,SQUAD,Logistics / Customer Product Line / Customer / Pricing - Customer Logistics / Pricing Mechanisms,3,2,4,3,1,0,17
group:log-seamless-customer-logistics,Seamless - Customer Logistics,DOMAIN,Logistics / Customer Product Line / Customer / Seamless - Customer Logistics,13,10,105,104,1,0,427
group:log-order-tracking-experience,Order Tracking,SQUAD,Logistics / Customer Product Line / Customer / Seamless - Customer Logistics / Order Tracking,6,5,26,25,1,0,222
group:log-time-predictions,Time Estimations,SQUAD,Logistics / Customer Product Line / Customer / Seamless - Customer Logistics / Time Estimations,6,4,79,79,0,0,172
group:log-tracking-sdk,Tracking UI,SQUAD,Logistics / Customer Product Line / Customer / Seamless - Customer Logistics / Tracking UI,1,1,0,0,0,0,33
group:log-customer-data-ml,Data & ML,TRIBE,Logistics / Customer Product Line / Data & ML,1,1,26,26,0,0,26
group:log-data-ml,Data & ML,DOMAIN,Logistics / Customer Product Line / Data & ML / Data & ML,1,1,26,26,0,0,26
group:log-ml-platform,Machine Learning Platform,SQUAD,Logistics / Customer Product Line / Data & ML / Data & ML / Machine Learning Platform,1,1,26,26,0,0,26
group:rider-product-line,Rider,PRODUCT-LINE,Logistics / Rider,105,67,889,850,37,2,1595
group:log-deliveries,Deliveries,TRIBE,Logistics / Rider / Deliveries,29,22,134,128,5,1,504
group:delivery-flow,Delivery Flow,DOMAIN,Logistics / Rider / Deliveries / Delivery Flow,9,6,37,37,0,0,131
group:log-delivery-acceptance,Delivery Acceptance,SQUAD,Logistics / Rider / Deliveries / Delivery Flow / Delivery Acceptance,1,0,0,0,0,0,0
group:pick-dash-up-and-drop-dash-off,Pick-up and Drop-off,SQUAD,Logistics / Rider / Deliveries / Delivery Flow / Pick-up and Drop-off,4,4,2,2,0,0,45
group:on-the-way,Rider On The Way,SQUAD,Logistics / Rider / Deliveries / Delivery Flow / Rider On The Way,4,2,35,35,0,0,86
