group_id,team,level,path,repo,via_squad,in_codacy,sec_issues,sec_critical,sec_medium,sec_minor,all_issues
group:logistics,Logistics,PLATFORM,Logistics,arara-api,group:rider-recruitment,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,arara-dashboard,group:rider-recruitment,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,delivery-fee-tiers-generation,group:log-pricing-foundations,True,1,0,1,0,1
group:logistics,Logistics,PLATFORM,Logistics,dh-cc-automations,group:compensation,True,5,5,0,0,5
group:logistics,Logistics,PLATFORM,Logistics,dh-cc-exploit-service,group:compensation,True,0,0,0,0,50
group:logistics,Logistics,PLATFORM,Logistics,dh-gst-events,group:log-experience,True,1,1,0,0,1
group:logistics,Logistics,PLATFORM,Logistics,dh-helpcenter-automations,group:log-automation-optimisation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,dh-helpcenter-backoffice,group:log-automation-optimisation,True,0,0,0,0,2
group:logistics,Logistics,PLATFORM,Logistics,dh-helpcenter-bo-flows,group:log-automation-optimisation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,dh-helpcenter-chat,group:communications-core,True,0,0,0,0,41
group:logistics,Logistics,PLATFORM,Logistics,dh-helpcenter-conditions,group:log-experience,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,dh-helpcenter-fakes,group:log-automation-optimisation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,dh-helpcenter-files,group:log-experience,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,dh-self-service-frontend,group:log-experience,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,ds-conversation-service-poc,group:log-ai-agents,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,gcc-chat-server,group:communications-core,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,gcc-ov-autopilot,group:log-ai-agents,True,0,0,0,0,20
group:logistics,Logistics,PLATFORM,Logistics,gcc-ov-copilot,group:log-1vu-agent-intelligence,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,gcc-ov-mercury,group:log-1vu-agent-resolution,True,0,0,0,0,50
group:logistics,Logistics,PLATFORM,Logistics,gcc-ov-services,group:log-1vu-agent-resolution,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,gcc-ov-ticket-api,group:log-agent-workflows,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,gcc-starling-aion,group:rider-scheduling,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,gst-api-signatures,group:log-1vu-agent-resolution,True,10,8,1,1,10
group:logistics,Logistics,PLATFORM,Logistics,gst-chat-web-workspace,group:communications-core,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,herocare-communications,group:log-agent-quality,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,herocare-quality-assurance,group:log-agent-quality,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,log-customer-choice-gdp-infra,group:log-demand-management,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,log-herocare-ap-backend,group:log-agent-quality,True,168,168,0,0,168
group:logistics,Logistics,PLATFORM,Logistics,log-herocare-ap-portal-backend,group:log-agent-quality,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,log-herocare-ap-supervisor-tools-backend,group:log-agent-workflows,True,4,2,1,1,4
group:logistics,Logistics,PLATFORM,Logistics,log-pricing-ds-dbdf-elasticity-estimates,group:log-pricing-orchestration,True,4,4,0,0,4
group:logistics,Logistics,PLATFORM,Logistics,logistics-ab-dashboard,group:routing-experimentation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-arara-api,group:rider-recruitment,True,85,85,0,0,117
group:logistics,Logistics,PLATFORM,Logistics,logistics-arara-dashboard,group:rider-recruitment,True,52,52,0,0,52
group:logistics,Logistics,PLATFORM,Logistics,logistics-assignment-algorithm,group:log-algo,True,0,0,0,0,24
group:logistics,Logistics,PLATFORM,Logistics,logistics-comms,group:rider-experience,True,0,0,0,0,10
group:logistics,Logistics,PLATFORM,Logistics,logistics-company-management,group:workforce-lifecycle-workforce-management,True,2,2,0,0,19
group:logistics,Logistics,PLATFORM,Logistics,logistics-company-management-dashboard,group:workforce-lifecycle-workforce-management,True,56,37,18,1,65
group:logistics,Logistics,PLATFORM,Logistics,logistics-customer-notifications,group:log-order-tracking-experience,True,1,1,0,0,38
group:logistics,Logistics,PLATFORM,Logistics,logistics-customer-weather,group:log-order-tracking-experience,True,7,7,0,0,82
group:logistics,Logistics,PLATFORM,Logistics,logistics-delay-service,group:log-optimal-choice,True,5,5,0,0,20
group:logistics,Logistics,PLATFORM,Logistics,logistics-delivery-flow-api,group:pick-dash-up-and-drop-dash-off,True,2,2,0,0,2
group:logistics,Logistics,PLATFORM,Logistics,logistics-deliveryareas,group:log-optimal-choice,True,7,4,3,0,19
group:logistics,Logistics,PLATFORM,Logistics,logistics-deliveryareas-dashboard,group:log-optimal-choice,True,14,14,0,0,43
group:logistics,Logistics,PLATFORM,Logistics,logistics-demand-manager,group:log-demand-management,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-demand-optimizer,group:log-demand-management,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-df-tasks,group:pick-dash-up-and-drop-dash-off,True,0,0,0,0,20
group:logistics,Logistics,PLATFORM,Logistics,logistics-df-validation-service,group:pick-dash-up-and-drop-dash-off,True,0,0,0,0,16
group:logistics,Logistics,PLATFORM,Logistics,logistics-dispatch-service-dashboard,group:routing-experimentation,True,8,8,0,0,8
group:logistics,Logistics,PLATFORM,Logistics,logistics-dispatcher-dashboard,group:order-dispatching,True,0,0,0,0,24
group:logistics,Logistics,PLATFORM,Logistics,logistics-dodo-api,group:rider-recruitment,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-dodo-landing-page,group:rider-recruitment,True,0,0,0,0,3
group:logistics,Logistics,PLATFORM,Logistics,logistics-ds-rider-priority-index,group:log-ml-platform,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-dynamic-pricing,group:log-pricing-foundations,True,3,3,0,0,16
group:logistics,Logistics,PLATFORM,Logistics,logistics-dynamic-pricing-analytics,group:log-pricing-orchestration,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-dynamic-pricing-api,group:log-pricing-benefits,True,6,6,0,0,16
group:logistics,Logistics,PLATFORM,Logistics,logistics-dynamic-pricing-dashboard,group:log-pricing-benefits,True,49,49,0,0,49
group:logistics,Logistics,PLATFORM,Logistics,logistics-dynamic-pricing-optimization,group:log-pricing-orchestration,True,1,1,0,0,12
group:logistics,Logistics,PLATFORM,Logistics,logistics-dynamic-pricing-vp-proxy,group:log-pricing-foundations,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-fleet-management-service,group:routing-experimentation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-fms-notifications,group:routing-experimentation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-forecast,group:rider-scheduling,True,40,40,0,0,40
group:logistics,Logistics,PLATFORM,Logistics,logistics-forecast-api,group:rider-scheduling,True,2,2,0,0,12
group:logistics,Logistics,PLATFORM,Logistics,logistics-forms-dashboard,group:workforce-lifecycle-workforce-management,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-fraud-detection,group:order-dispatching,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-geo-tracking,group:on-the-way,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-geofence-manager,group:on-the-way,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-goldcrest-api,group:rider-recruitment,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-hurrier,group:order-processing-lpar-optimization-rpar,True,0,0,0,0,50
group:logistics,Logistics,PLATFORM,Logistics,logistics-hurrier-dashboard-v2,group:order-dispatching,True,2,2,0,0,2
group:logistics,Logistics,PLATFORM,Logistics,logistics-hurrier-delay-model,group:log-optimal-choice,True,22,17,5,0,22
group:logistics,Logistics,PLATFORM,Logistics,logistics-hurrier-documentation,group:order-processing-lpar-optimization-rpar,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-hurrier-load-tests,group:order-processing-lpar-optimization-rpar,True,10,10,0,0,12
group:logistics,Logistics,PLATFORM,Logistics,logistics-hyperlocal-delay-service,group:routing-experimentation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-iam-login,group:rider-access,True,0,0,0,0,12
group:logistics,Logistics,PLATFORM,Logistics,logistics-infra-helm,group:rider-payments,True,243,243,0,0,254
group:logistics,Logistics,PLATFORM,Logistics,logistics-issue-service,group:order-dispatching,True,26,26,0,0,69
group:logistics,Logistics,PLATFORM,Logistics,logistics-issue-service-dashboard,group:order-dispatching,True,0,0,0,0,30
group:logistics,Logistics,PLATFORM,Logistics,logistics-kiwi,group:rider-scheduling,True,0,0,0,0,4
group:logistics,Logistics,PLATFORM,Logistics,logistics-kong-migration,group:rider-recruitment,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-kubernetes,group:pick-dash-up-and-drop-dash-off,True,0,0,0,0,7
group:logistics,Logistics,PLATFORM,Logistics,logistics-magpie,group:rider-scheduling,True,3,3,0,0,3
group:logistics,Logistics,PLATFORM,Logistics,logistics-mp-delivery-times,group:log-time-predictions,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-multi-armed-bandit,group:log-pricing-orchestration,True,92,92,0,0,92
group:logistics,Logistics,PLATFORM,Logistics,logistics-on-call-copilot,group:order-processing-lpar-optimization-rpar,True,7,3,3,1,7
group:logistics,Logistics,PLATFORM,Logistics,logistics-optimization-abtest,group:routing-experimentation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-optimization-dispatch-service,group:routing-infrastructure,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-optimization-osrm,group:log-algo,True,10,5,5,0,21
group:logistics,Logistics,PLATFORM,Logistics,logistics-optimization-routes-service,group:routing-infrastructure,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-optimization-simulator,group:routing-experimentation,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-optimization-stabilizer,group:log-algo,True,1,0,1,0,13
group:logistics,Logistics,PLATFORM,Logistics,logistics-optimization-valhalla,group:log-algo,True,0,0,0,0,12
group:logistics,Logistics,PLATFORM,Logistics,logistics-order-delay-model,group:log-time-predictions,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-outbox-worker,group:rider-payments,True,1,1,0,0,1
group:logistics,Logistics,PLATFORM,Logistics,logistics-payments-data-orchestrator,group:rider-payments,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-penguin,group:rider-scheduling,False,0,0,0,0,0
group:logistics,Logistics,PLATFORM,Logistics,logistics-picapau,group:workforce-lifecycle-workforce-management,True,1,1,0,0,41
group:logistics,Logistics,PLATFORM,Logistics,logistics-platform-notifier,group:order-dispatching,True,6,6,0,0,20
